English,MS (Bahasa Melayu),ZH (Mandarin),TA (Tamil),Notes
Reset Abacus,Reset Abacus,重置算盘,அபேக்கஸ் மீட்டமைக்கவும்,Button to reset abacus state
Start Tutorial,Mulakan Tutorial,开始教程,பயிற்சியை தொடங்கவும்,Button to begin tutorial
Arithmetic Practice,Latihan Aritmetik,算术练习,கணித பயிற்சி,Button to open arithmetic practice modal
Practice Game,Permainan Latihan,练习游戏,பயிற்சி விளையாட்டு,Button to open practice game
First number,Nombor pertama,第一个数字,முதல் எண்,Placeholder for first number input
Second number,Nombor kedua,第二个数字,இரண்டாவது எண்,Placeholder for second number input
Calculate,Kira,计算,கணக்கிடவும்,Button to perform calculation
Guide Me,Kaedah Kiraan,引导我,என்னை வழிகாட்டவும்,Button to show step-by-step guidance
Game Settings,Tetapan Permainan,游戏设置,விளையாட்டு அமைப்புகள்,Title for game configuration modal
Start Game,Mulakan Permainan,开始游戏,விளையாட்டை தொடங்கவும்,Button to begin game
Check Answer,Semak Jawapan,检查答案,பதில் சரிபார்க்கவும்,Button to verify user's answer
Next Question,Soalan Seterusnya,下一个问题,அடுத்த கேள்வி,Button to proceed to next question
Results,Keputusan,结果,முடிவுகள்,Title for game results section
Tutorial Step Titles,Tajuk Langkah Tutorial,教程步骤标题,பயிற்சி படி தலைப்புகள்,Tutorial Step Titles
Welcome to Soroban,Selamat datang ke Soroban,欢迎来到算盘,சோரோபானில் உங்களை வரவேற்கிறேன்,First tutorial step title
Top Bead (Value: 5),Manik Atas (Nilai: 5),顶部珠子（值：5）,மேல் முத்து (மதிப்பு: 5),Tutorial step explaining top bead
Bottom Beads (Value: 1 each),Manik Bawah (Nilai: 1 setiap satu),底部珠子（值：1每个）,கீழ் முத்துகள் (மதிப்பு: 1 ஒவ்வொன்றுக்கும்),Tutorial step explaining bottom beads
Making Numbers,Membuat Nombor,制作数字,எண்களை உருவாக்குதல்,Tutorial step about number formation
Addition Mental Math,Pengiraan Mental Tambah,加法心算,கூட்டல் மனக்கணக்கு,Tutorial section about addition
Subtraction Mental Math,Pengiraan Mental Tolak,减法心算,கழித்தல் மனக்கணக்கு,Tutorial section about subtraction
Tutorial Step Contents,Kandungan Langkah Tutorial,教程步骤内容,பயிற்சி படி உள்ளடக்கம்,Tutorial Step Contents
Let's learn how to use the Japanese Abacus (Soroban).,Mari kita belajar cara menggunakan Abacus Jepun (Soroban).,让我们学习如何使用日本算盘（Soroban）。,ஜப்பானிய அபேக்கஸ் (சோரோபான்) ஐ எப்படி பயன்படுத்துவது என்பதை நாம் கற்றுக்கொள்வோம்.,First tutorial step description
Watch this top bead. It represents 5 units when moved down.,Perhatikan manik atas ini. Ia mewakili 5 unit apabila dipindahkan ke bawah.,观察这个顶部珠子。它向下移动时代表5个单位。,இந்த மேல்முத்தை கவனிக்கவும். இது கீழே நகரும்போது 5 அலகுகளை பிரதிநிதித்துவம் செய்கிறது.,Description of top bead functionality
Each bottom bead represents 1 unit. We start from the bead closest to the bar.,Setiap manik bawah mewakili 1 unit. Kita bermula dari manik yang paling dekat dengan bar.,每个底部珠子代表1个单位。我们从离杆子最近的珠子开始。,ஒவ்வொரு கீழ்முத்தும் 1 அலகை பிரதிநிதித்துவம் செய்கிறது. நாங்கள் கம்பத்திற்கு அருகிலுள்ள முத்திலிருந்து தொடங்குகிறோம்.,Description of bottom beads
